X_world, Y_world, Z_world
1.749080237694724982e+00,9.391963650868429880e+00,1.098571387180167669e+00
1.311989040672405293e+00,1.019705687464961130e+01,2.883832775663600856e+00
1.041168988591604894e+00,9.994655844802529998e+00,1.060180295676011353e+00
1.366809019706867634e+00,8.148538589793426823e+00,2.391515514080924554e+00
2.223705789444759162e+00,6.752867891211309370e+00,2.721012278695916109e+00
2.570351922786027199e+00,8.085406630481669410e+00,2.600652435683280750e+00
2.215089703802876731e+00,5.390309557911677096e+00,2.658951752625417164e+00
1.195344228012767740e+00,7.640914962437607372e+00,1.631533946975686211e+00
1.068777042230436791e+00,6.552679889600101504e+00,1.181359195842435872e+00
2.040136042355621626e+00,6.109126733153162014e+00,1.906579441313440704e+00
1.176985004103838994e+00,5.271363733463228840e+00,2.608034275161709381e+00
1.542698063547791820e+00,7.140519960161535451e+00,1.342524981696141317e+00
1.281848449949525293e+00,5.447303862078625158e+00,1.395606038491920664e+00
2.458014336081974616e+00,5.444267910404541944e+00,1.457459306628108520e+00
2.726206851751187266e+00,6.985388149115895118e+00,1.753403746344884162e+00
